Tabelle;Feldnummer;Feld;Typ;PK;FKReferenz;Kandidat;Bezeichner;Beschreibung
Datum;1;DatumID;INTEGER;1;;;;
Datum;2;Datum;TEXT;;;;;
Datum;3;Jahr;INTEGER;;;;;
Datum;4;Monat;INTEGER;;;;;
Datum;5;Tag;INTEGER;;;;;
PersonArt;1;PersonArtID;INTEGER;1;;;;
PersonArt;2;Bezeichnung;TEXT;;;;1;
KundeArt;1;KundeArtID;INTEGER;1;;;;
KundeArt;2;Bezeichnung;TEXT;;;;1;
ObjektArt;1;ObjektArtID;INTEGER;1;;;;
ObjektArt;2;Bezeichnung;TEXT;;;;1;
TerminArt;1;TerminArtID;INTEGER;1;;;;
TerminArt;2;Bezeichnung;TEXT;;;;1;
KontaktArt;1;KontaktArtID;INTEGER;1;;;;
KontaktArt;2;Bezeichnung;TEXT;;;;1;
ChanelArt;1;ChanelArtID;INTEGER;1;;;;
ChanelArt;2;Bezeichnung;TEXT;;;;1;
Person;1;PersonID;INTEGER;1;;;;
Person;2;PersonArtID;INTEGER;;PersonArt(PersonArtID);;;
Person;3;KundeArtID;INTEGER;;KundeArt(KundeArtID);;;
Person;4;Titel;TEXT;;;;;
Person;5;Anrede;TEXT;;;;;
Person;6;Vorname;TEXT;;;;;
Person;7;Nachname;TEXT;;;;1;
Person;8;Strasse;TEXT;;;;;
Person;9;Nummer;TEXT;;;;;
Person;10;PLZ;TEXT;;;;;
Person;11;Ort;TEXT;;;;;
Person;12;TelefonPrivat;TEXT;;;;;
Person;13;TelefonGeschaeft;TEXT;;;;;
Person;14;TelefonMobil;TEXT;;;;;
Person;15;Fax;TEXT;;;;;
Person;16;Email;TEXT;;;;;
Person;17;Ansprechpartner;TEXT;;;;;
Person;18;aktuell;INTEGER;;;;;
Person;19;Quelle;TEXT;;;;;
Person;20;Bemerkung;TEXT;;;;;
Objekt;1;ObjektID;INTEGER;1;;;;
Objekt;2;ObjektArtID;INTEGER;;ObjektArt(ObjektArtID);;;
Objekt;3;LageID;INTEGER;;Lage(LageID);;;
Objekt;4;VerkäuferID;INTEGER;;Person(PersonID);;;
